Index,x,y
1,6.69694141760846E-01,-4.34325580615089E-01
2,1.40750277389254E+00,-4.64530476357483E-01
3,8.48533617031914E-01,4.16112240018065E-01
4,4.50751461824653E-01,8.02703829691666E-01
5,1.97000061509809E+00,1.67788071574345E-01
6,-5.50898666403688E-01,8.95119220888683E-01
7,7.95763439894971E-01,5.77655084773002E-01
8,-7.67839779972439E-03,3.29813170576421E-01
9,-3.92900772543968E-01,1.00235501161305E+00
10,1.56593686360529E+00,-3.71195997041585E-01
11,9.756838948564E-01,9.47634578409344E-02
12,2.69681107202507E-01,-4.28151418795822E-02
13,-8.35142083623058E-01,7.12837235933311E-01
14,-6.23710880025581E-01,7.17629499395965E-01
15,1.39710843805974E-01,9.92377429363305E-01
16,8.6850261445059E-01,-5.15985060954247E-01
17,1.41818963199742E+00,-4.26678418915856E-01
18,-1.0441854407425E+00,3.70769090289161E-02
19,7.87434827546108E-01,7.10203588878522E-01
20,1.00080501931235E+00,9.18437456115233E-03
21,3.91921130890853E-01,8.89097291318779E-01
22,1.0047278430755E+00,-5.9617144409241E-01
23,2.99294138373395E-01,8.96771448707588E-01
24,-7.80827136834604E-01,6.4280336743606E-01
25,7.07396723752515E-01,6.65246184180077E-01
26,2.21455816805237E-02,2.15897167278486E-01
27,-8.19583871326087E-01,6.78417100150437E-01
28,1.00687607032662E-01,-5.38494218093192E-02
29,7.8109667942239E-01,-4.28601300210838E-01
30,1.20825557262249E+00,-4.85420350485164E-01
31,1.68922824052443E+00,-7.16743174998077E-02
32,3.47745045849312E-01,-3.35223381072491E-01
33,1.06654940927056E+00,7.02950565882878E-02
34,1.39652744149911E+00,-4.30586898930874E-01
35,3.54280267539318E-01,-1.11127081566851E-01
36,1.63952898719675E+00,-1.82694654975153E-01
37,5.06113487395461E-01,-4.39813034116326E-01
38,-1.03466682463659E+00,2.02363569745455E-01
39,6.55960245427756E-01,-4.04641176087525E-01
40,5.22294509941509E-01,-3.4697783971532E-01
41,2.69731898656196E-02,5.01943574600784E-01
42,-2.84838566790355E-01,8.86431326845162E-01
43,-2.63504232848699E-01,9.06075562674943E-01
44,1.37923223014458E+00,-4.34931240926217E-01
45,8.79370578956233E-01,3.91523586680759E-01
46,-8.69880629393536E-01,5.8780389664533E-01
47,1.03966750429975E+00,-4.8351810352373E-01
48,-6.60054451364969E-01,7.52360981565736E-01
49,1.29170454943061E+00,-4.83890491479226E-01
50,3.41231468181576E-01,-2.30975275067697E-01
51,2.33571960007911E-01,9.50726214009687E-01
52,6.17206235837145E-01,-3.4735213125302E-01
53,5.39349515043975E-01,-3.44436334796667E-01
54,6.39308953349599E-01,-3.38791766784267E-01
